index,max-steps,max-reward,exploration-rate,obedience
165,800.0,-312.0,0.8826897221782838,0.28375
166,800.0,-243.0,0.8822984751371059,0.28
167,800.0,-307.0,0.881907423670551,0.23375
168,800.0,-292.0,0.881516567680856,0.2625
169,800.0,-361.0,0.8811259070703069,0.28125
170,800.0,-238.0,0.8807354417412387,0.28875
171,593.0,-200.0,0.880345171596035,0.26138279932546377
172,800.0,-304.0,0.8799550965371282,0.285
173,800.0,-297.0,0.8795652164669997,0.2775
174,800.0,-320.0,0.8791755312881794,0.265
175,800.0,-290.0,0.8787860409032459,0.28
176,800.0,-304.0,0.8783967452148267,0.28375
177,800.0,-261.0,0.8780076441255978,0.265
178,800.0,-260.0,0.8776187375382841,0.255
179,800.0,-270.0,0.8772300253556589,0.3025
180,800.0,-259.0,0.8768415074805439,0.275
181,800.0,-288.0,0.8764531838158099,0.28375
182,800.0,-341.0,0.8760650542643759,0.285
183,800.0,-261.0,0.8756771187292095,0.27
184,800.0,-345.0,0.8752893771133268,0.2875
185,800.0,-295.0,0.8749018293197924,0.27
186,800.0,-295.0,0.8745144752517194,0.28875
187,800.0,-286.0,0.8741273148122692,0.26625
188,800.0,-311.0,0.8737403479046519,0.3
189,800.0,-304.0,0.8733535744321255,0.27625
190,800.0,-295.0,0.8729669942979966,0.3075
191,800.0,-276.0,0.8725806074056205,0.28625
192,800.0,-295.0,0.8721944136584002,0.2725
193,800.0,-305.0,0.8718084129597873,0.27875
194,800.0,-249.0,0.8714226052132817,0.295
195,800.0,-277.0,0.8710369903224314,0.27125
196,800.0,-286.0,0.8706515681908328,0.24875
197,800.0,-236.0,0.8702663387221301,0.29
198,800.0,-333.0,0.8698813018200162,0.265
199,800.0,-291.0,0.8694964573882318,0.28875
200,800.0,-329.0,0.8691118053305655,0.2475
201,800.0,-345.0,0.8687273455508548,0.28
202,800.0,-281.0,0.8683430779529845,0.27125
203,800.0,-300.0,0.8679590024408875,0.285
204,800.0,-290.0,0.8675751189185452,0.27625
205,800.0,-314.0,0.8671914272899868,0.25375
206,800.0,-240.0,0.866807927459289,0.2675
207,800.0,-267.0,0.8664246193305771,0.29
208,800.0,-261.0,0.8660415028080239,0.285
209,800.0,-299.0,0.8656585777958506,0.30375
210,800.0,-280.0,0.8652758441983257,0.2725
211,800.0,-317.0,0.8648933019197658,0.275
212,800.0,-278.0,0.8645109508645354,0.25875
213,800.0,-334.0,0.8641287909370466,0.28125
214,800.0,-307.0,0.8637468220417597,0.28375
215,800.0,-279.0,0.8633650440831822,0.2825
216,800.0,-282.0,0.8629834569658696,0.27875
217,800.0,-271.0,0.8626020605944253,0.3025
218,800.0,-297.0,0.8622208548735001,0.28125
219,800.0,-268.0,0.8618398397077925,0.28375
220,800.0,-292.0,0.8614590150020489,0.27
221,800.0,-251.0,0.861078380661063,0.30125
222,800.0,-328.0,0.8606979365896763,0.31125
223,800.0,-341.0,0.8603176826927776,0.27
224,800.0,-318.0,0.8599376188753036,0.28875
225,800.0,-298.0,0.8595577450422383,0.26625
226,800.0,-263.0,0.8591780610986132,0.29625
227,800.0,-257.0,0.8587985669495073,0.27
228,800.0,-295.0,0.858419262500047,0.27625
229,800.0,-287.0,0.8580401476554064,0.26625
230,800.0,-261.0,0.8576612223208065,0.2775
231,800.0,-320.0,0.8572824864015164,0.2875
232,800.0,-211.0,0.8569039398028517,0.30125
233,800.0,-240.0,0.8565255824301758,0.28625
234,800.0,-279.0,0.8561474141888996,0.3025
235,800.0,-298.0,0.8557694349844808,0.28875
236,800.0,-211.0,0.8553916447224247,0.29125
237,800.0,-229.0,0.8550140433082838,0.2975
238,800.0,-237.0,0.8546366306476575,0.2725
239,800.0,-279.0,0.8542594066461928,0.29875
240,385.0,-87.0,0.8538823712095838,0.2883116883116883
241,800.0,-299.0,0.8535055242435715,0.29
242,800.0,-236.0,0.8531288656539442,0.28125
243,800.0,-257.0,0.8527523953465372,0.26875
244,800.0,-237.0,0.8523761132272331,0.27625
245,800.0,-271.0,0.852000019201961,0.28375
246,800.0,-320.0,0.8516241131766977,0.25875
247,800.0,-244.0,0.8512483950574666,0.30375
248,800.0,-307.0,0.8508728647503382,0.2425
249,800.0,-301.0,0.8504975221614299,0.2825
250,800.0,-307.0,0.8501223671969061,0.27375
251,800.0,-298.0,0.8497473997629779,0.28625
252,800.0,-287.0,0.8493726197659036,0.29625
253,800.0,-318.0,0.8489980271119881,0.2525
254,800.0,-233.0,0.8486236217075833,0.3125
255,800.0,-308.0,0.848249403459088,0.2825
256,800.0,-239.0,0.8478753722729472,0.28125
257,800.0,-366.0,0.8475015280556535,0.27125
258,800.0,-247.0,0.8471278707137456,0.29875
259,800.0,-291.0,0.8467544001538094,0.28
260,800.0,-280.0,0.846381116282477,0.28
261,800.0,-363.0,0.8460080190064276,0.2775
262,800.0,-307.0,0.845635108232387,0.2675
263,800.0,-304.0,0.8452623838671272,0.2775
264,800.0,-221.0,0.8448898458174672,0.3075
265,800.0,-275.0,0.8445174939902726,0.25125
266,800.0,-285.0,0.8441453282924554,0.275
267,621.0,-129.0,0.8437733486309741,0.2995169082125604
268,800.0,-271.0,0.8434015549128339,0.295
269,800.0,-258.0,0.8430299470450863,0.29875
270,800.0,-235.0,0.8426585249348292,0.28375
271,800.0,-236.0,0.8422872884892073,0.3
272,800.0,-287.0,0.8419162376154113,0.25875
273,800.0,-242.0,0.8415453722206787,0.28125
274,800.0,-245.0,0.8411746922122929,0.2825
275,800.0,-264.0,0.8408041974975842,0.28
276,800.0,-242.0,0.8404338879839286,0.29125
277,800.0,-289.0,0.8400637635787488,0.26125
278,800.0,-286.0,0.8396938241895138,0.28625
279,800.0,-246.0,0.8393240697237387,0.29875
280,800.0,-251.0,0.838954500088985,0.29125
281,800.0,-243.0,0.8385851151928599,0.28125
282,800.0,-216.0,0.8382159149430176,0.295
283,800.0,-272.0,0.8378468992471579,0.29625
284,800.0,-260.0,0.8374780680130269,0.28875
285,800.0,-271.0,0.8371094211484167,0.2725
286,800.0,-262.0,0.8367409585611655,0.2725
287,800.0,-249.0,0.8363726801591579,0.28375
288,800.0,-279.0,0.8360045858503242,0.305
289,800.0,-259.0,0.8356366755426409,0.285
290,800.0,-266.0,0.8352689491441301,0.32
291,800.0,-262.0,0.8349014065628604,0.2625
292,800.0,-259.0,0.8345340477069464,0.27875
293,800.0,-266.0,0.8341668724845479,0.30625
294,800.0,-276.0,0.8337998808038715,0.285
295,800.0,-202.0,0.8334330725731691,0.29375
296,800.0,-271.0,0.8330664477007387,0.285
297,800.0,-272.0,0.8327000060949239,0.29
298,800.0,-261.0,0.8323337476641145,0.2825
299,800.0,-250.0,0.8319676723167458,0.2775
300,800.0,-237.0,0.8316017799612991,0.2875
301,800.0,-268.0,0.8312360705063011,0.30125
302,800.0,-249.0,0.8308705438603247,0.2675
303,800.0,-275.0,0.8305051999319878,0.27375
304,800.0,-267.0,0.8301400386299549,0.2975
305,800.0,-218.0,0.8297750598629354,0.28375
306,800.0,-218.0,0.8294102635396847,0.25875
307,800.0,-237.0,0.8290456495690037,0.2925
308,800.0,-232.0,0.8286812178597388,0.29
309,800.0,-270.0,0.8283169683207822,0.2925
310,800.0,-240.0,0.8279529008610714,0.28125
311,800.0,-211.0,0.8275890153895897,0.2825
312,800.0,-257.0,0.8272253118153656,0.2875
313,800.0,-290.0,0.8268617900474733,0.27125
314,800.0,-316.0,0.8264984499950323,0.28375
315,800.0,-250.0,0.8261352915672076,0.25
316,800.0,-271.0,0.8257723146732094,0.27
317,800.0,-210.0,0.8254095192222938,0.29375
318,800.0,-215.0,0.8250469051237618,0.28375
319,800.0,-249.0,0.8246844722869597,0.2775
320,800.0,-237.0,0.8243222206212796,0.29125
321,800.0,-306.0,0.8239601500361583,0.295
322,800.0,-268.0,0.8235982604410784,0.285
323,800.0,-228.0,0.8232365517455673,0.27
324,800.0,-272.0,0.822875023859198,0.2775
325,800.0,-274.0,0.8225136766915884,0.27
326,800.0,-324.0,0.8221525101524016,0.24625
327,800.0,-273.0,0.8217915241513463,0.275
328,800.0,-306.0,0.8214307185981757,0.295
329,800.0,-246.0,0.8210700934026884,0.295
330,800.0,-286.0,0.8207096484747285,0.26625
331,800.0,-229.0,0.8203493837241842,0.2775
332,800.0,-256.0,0.8199892990609896,0.27
333,800.0,-300.0,0.8196293943951236,0.3175
334,800.0,-188.0,0.81926966963661,0.2825
335,800.0,-269.0,0.8189101246955175,0.26875
336,800.0,-226.0,0.8185507594819599,0.28875
337,800.0,-275.0,0.8181915739060959,0.26
338,800.0,-279.0,0.8178325678781292,0.26125
339,800.0,-331.0,0.8174737413083081,0.265
340,800.0,-228.0,0.8171150941069261,0.2775
341,800.0,-249.0,0.8167566261843213,0.29625
342,800.0,-246.0,0.8163983374508769,0.30625
343,800.0,-222.0,0.8160402278170206,0.3025
344,800.0,-263.0,0.8156822971932248,0.28375
345,800.0,-241.0,0.8153245454900072,0.2575
346,800.0,-208.0,0.8149669726179297,0.2775
347,800.0,-255.0,0.814609578487599,0.28625
348,800.0,-224.0,0.8142523630096666,0.2675
349,800.0,-245.0,0.8138953260948288,0.28875
350,800.0,-197.0,0.8135384676538262,0.28375
351,800.0,-249.0,0.8131817875974442,0.27
352,800.0,-239.0,0.8128252858365129,0.285
353,800.0,-262.0,0.8124689622819067,0.28875
354,800.0,-286.0,0.8121128168445447,0.25625
355,800.0,-279.0,0.8117568494353908,0.28
356,800.0,-256.0,0.8114010599654529,0.29
357,800.0,-282.0,0.8110454483457836,0.2725
358,800.0,-205.0,0.8106900144874801,0.27625
359,800.0,-265.0,0.810334758301684,0.33875
360,800.0,-233.0,0.8099796796995812,0.29
361,800.0,-294.0,0.8096247785924019,0.25875
362,800.0,-205.0,0.8092700548914211,0.28
363,800.0,-246.0,0.8089155085079576,0.2875
364,800.0,-235.0,0.8085611393533749,0.305
365,800.0,-243.0,0.8082069473390808,0.29125
366,800.0,-227.0,0.8078529323765272,0.26625
367,800.0,-253.0,0.8074990943772105,0.27875
368,800.0,-234.0,0.807145433252671,0.26125
369,800.0,-203.0,0.8067919489144935,0.28375
370,800.0,-245.0,0.8064386412743068,0.27375
371,800.0,-277.0,0.8060855102437842,0.305
372,800.0,-275.0,0.8057325557346428,0.2625
373,800.0,-232.0,0.805379777658644,0.29375
374,800.0,-277.0,0.8050271759275933,0.2725
375,800.0,-234.0,0.8046747504533402,0.27375
376,800.0,-289.0,0.8043225011477785,0.26125
377,800.0,-226.0,0.8039704279228457,0.28375
378,800.0,-213.0,0.8036185306905236,0.28125
379,800.0,-249.0,0.8032668093628377,0.29625
380,800.0,-197.0,0.8029152638518579,0.29625
381,800.0,-165.0,0.8025638940696977,0.29125
382,800.0,-272.0,0.8022126999285147,0.31875
383,800.0,-230.0,0.8018616813405103,0.29625
384,800.0,-262.0,0.8015108382179299,0.2625
385,800.0,-240.0,0.8011601704730629,0.27
386,800.0,-241.0,0.8008096780182419,0.27375
